Wavelength (nm),30 s reaction,30 s reaction_overnight,300 s reaction,300 s reaction_overnight,600 s reaction,600 s reaction_overnight
564.0053711,-0.002438691,0.01068671,0.018226368,0.025552072,0.049671646,0.049628809
562.993042,-0.002430093,0.010812034,0.02012378,0.027167624,0.054923594,0.054767754
562.0180054,-0.002222207,0.01080593,0.022071514,0.028923519,0.061125934,0.060360912
561.005249,-0.00246021,0.010653256,0.023983894,0.030933892,0.067606375,0.066381805
559.9921875,-0.002526202,0.010650072,0.026273603,0.032987714,0.074614279,0.073033161
559.0163574,-0.002273042,0.01091329,0.029080179,0.035495657,0.081906073,0.079761468
558.0029297,-0.002222979,0.010862937,0.032405205,0.038536772,0.090421222,0.08801394
556.9891968,-0.001963406,0.011092158,0.035956502,0.042013891,0.100113921,0.097120054
556.0127563,-0.001909752,0.011100045,0.040328432,0.045831915,0.110599019,0.106682204
554.9985352,-0.001919493,0.011012366,0.044521652,0.050086867,0.120827243,0.117538698
553.9840088,-0.001738744,0.011173612,0.049812544,0.055017136,0.132143766,0.128612533
553.006897,-0.001793657,0.011335742,0.055178855,0.060329501,0.144171611,0.140011489
551.9919434,-0.001602591,0.01153706,0.061626565,0.066420592,0.156793907,0.151909053
551.0143433,-0.001616002,0.011577973,0.068705432,0.072883852,0.169442624,0.164239183
549.9989014,-0.001350543,0.011502823,0.076024622,0.079975709,0.181666061,0.176712841
548.9832153,-0.001384089,0.011618172,0.085313059,0.088937469,0.194787189,0.190986499
548.0048828,-0.001274204,0.011722568,0.094290242,0.097676776,0.207710564,0.203699842
546.9887695,-0.001223923,0.011849654,0.103109568,0.106207825,0.220253244,0.215608746
546.0100708,-0.001213649,0.011815285,0.112654544,0.115448803,0.231332123,0.227082744
544.9934692,-0.001020313,0.011821935,0.123826958,0.126344264,0.242526665,0.239183575
544.0142822,-0.000964527,0.012052542,0.136692166,0.138673827,0.254265428,0.251785725
542.9971313,-0.000857273,0.01220001,0.151054725,0.152526334,0.266006738,0.263988763
542.0174561,-0.000724461,0.012513935,0.162634835,0.164108843,0.275622517,0.273021281
540.999939,-0.000984827,0.012652552,0.173295498,0.175978348,0.285317659,0.281559229
539.9821777,-0.000823376,0.01253413,0.186589927,0.189142168,0.292690992,0.289852649
539.0018921,-0.000556709,0.012713187,0.201436773,0.204058811,0.299929947,0.298209369
537.9836426,-0.000222459,0.012969817,0.217720702,0.219310239,0.306244105,0.306343883
537.0028687,-0.000367943,0.012955388,0.229091808,0.231592894,0.31228596,0.311907768
535.9840698,-0.000277719,0.013106152,0.24160026,0.244487256,0.316965878,0.316580415
535.0028687,0.000112178,0.013384852,0.253428459,0.256922126,0.319602251,0.321061343
533.9837036,1.75E-05,0.013499821,0.265497565,0.269245744,0.322504401,0.324412912
533.0020752,5.38E-05,0.01375956,0.275163323,0.278868645,0.326987326,0.327015221
531.9824219,0.000313126,0.013939525,0.286313623,0.2903862,0.328228921,0.329360932
531.0003052,0.000748075,0.014158421,0.295936227,0.300091445,0.328641027,0.331114292
530.0180664,0.000935023,0.014399931,0.304128945,0.308347225,0.328112006,0.332104415
528.9976807,0.000816278,0.014702544,0.310201019,0.315115064,0.330155462,0.332381725
528.0148926,0.001014776,0.014893936,0.316439539,0.321257353,0.332219571,0.332679182
526.9942017,0.001516923,0.015271023,0.322603345,0.327754736,0.330913842,0.332837284
526.0109863,0.001883633,0.015699722,0.327306122,0.332618266,0.330372423,0.33234328
