Wavelength (nm),30 s,60 s,90 s,120 s,150 s,180 s,210 s,240 s,270 s,300 s,330 s,360 s,390 s,420 s,570 s,600 s
589.0153809,-0.003632873,0.004379889,-0.001500706,0.002633921,0.002706458,0.010609141,0.006799823,0.001942446,0.001997652,0.009108502,0.062790282,0.003456918,0.003915637,0.010383675,0.018287653,0.008917158
588.0093994,-0.003396179,0.004530817,-0.0013748,0.002820511,0.002835336,0.010680502,0.006932762,0.00220538,0.002057884,0.009254287,0.063578896,0.003593614,0.004070507,0.01044532,0.018886099,0.009075539
587.0030518,-0.003383696,0.004737274,-0.001254278,0.00279193,0.003117088,0.010853834,0.0070629,0.002288098,0.002417112,0.009305194,0.06306158,0.003583565,0.004219028,0.010586037,0.019152056,0.009125737
585.996521,-0.003332477,0.004933698,-0.001082805,0.003244783,0.003164829,0.011031509,0.007164207,0.002314642,0.002503958,0.009327991,0.064090945,0.003664353,0.004401697,0.010798898,0.019521056,0.009427711
584.9897461,-0.003334532,0.004974752,-0.001032864,0.003346612,0.003174607,0.010967763,0.007461396,0.002383482,0.002459465,0.009419881,0.063685201,0.003853214,0.00438619,0.010802878,0.019892996,0.009560505
583.982666,-0.003053312,0.005445092,-0.000636328,0.00362632,0.003563703,0.011423912,0.007585212,0.002778565,0.002872414,0.00965337,0.064449199,0.004138763,0.004955926,0.011042343,0.020417683,0.010166487
583.0126343,-0.00288116,0.005560101,-0.000470507,0.003762312,0.003622091,0.011657444,0.007940158,0.002898629,0.003021777,0.009668854,0.064946942,0.004237979,0.005160438,0.011207026,0.020918883,0.010273715
582.005127,-0.003070482,0.005549456,-0.0005307,0.003815895,0.003775942,0.011472548,0.007826599,0.002619467,0.002988804,0.009573736,0.064238548,0.004221537,0.005036421,0.011124716,0.021160379,0.010352603
580.9973145,-0.002816251,0.005746772,-0.000416926,0.004168164,0.003991838,0.01179507,0.008101138,0.003028059,0.003147463,0.009984053,0.063545212,0.004360565,0.005333467,0.011428801,0.021882594,0.010820765
579.9892578,-0.002835231,0.005993227,-0.00013852,0.004396571,0.004182017,0.011989523,0.008328272,0.003219356,0.003518971,0.010019786,0.06479501,0.004626223,0.00568259,0.011651993,0.022612585,0.011206203
579.0183105,-0.002854261,0.006048373,-0.000255368,0.004476831,0.004216518,0.012012701,0.008452177,0.003209472,0.00344609,0.009771009,0.064251728,0.004578164,0.005745093,0.011627478,0.023191219,0.011319322
578.0097046,-0.00279619,0.006373168,-2.07E-07,0.004611913,0.004359624,0.012424584,0.008545228,0.003390021,0.003740457,0.010132516,0.065463796,0.004768601,0.006138469,0.011928376,0.023788234,0.011942611
577.0008545,-0.002695099,0.006379867,0.000183544,0.00482757,0.004592003,0.012352536,0.008735168,0.003429991,0.003866142,0.010226379,0.065542601,0.005034509,0.006319584,0.011879183,0.024602491,0.012237737
575.9918823,-0.002744387,0.006454819,0.000323177,0.004925817,0.004636584,0.01237632,0.008851766,0.003627207,0.003911876,0.010298233,0.06519337,0.005032047,0.006405244,0.012336477,0.025205348,0.012684508
574.9824219,-0.002687433,0.006669922,0.000335664,0.00500476,0.004757452,0.012651246,0.009029337,0.003544573,0.004126768,0.010324768,0.06472782,0.005165808,0.006645607,0.012453886,0.026001159,0.013094227
574.0103149,-0.002460056,0.006931578,0.00070607,0.005365334,0.004981089,0.012832965,0.009220414,0.003826341,0.00440915,0.010601979,0.065237641,0.005558686,0.007011335,0.012751252,0.027208272,0.013811185
573.0004272,-0.002609012,0.006926397,0.00066342,0.005414634,0.005081649,0.012826619,0.00940274,0.003848356,0.004271988,0.010464385,0.066212058,0.005601714,0.007170233,0.01280793,0.028339688,0.014288335
571.9904175,-0.002219065,0.007293466,0.001009794,0.005723086,0.005439797,0.013370409,0.009964504,0.004093319,0.004780693,0.010723085,0.065364636,0.00598517,0.007695599,0.013351856,0.029863609,0.015276921
571.0174561,-0.002150966,0.007542751,0.00121326,0.005944072,0.005608348,0.013613404,0.01015231,0.004427481,0.005011281,0.010874032,0.065262467,0.006304062,0.008132471,0.01381359,0.031158634,0.016148351
570.006958,-0.002014323,0.007842492,0.001528405,0.006304954,0.005899278,0.013878798,0.010319652,0.004699382,0.005255747,0.011247802,0.066248238,0.006713612,0.00877212,0.014279053,0.033205837,0.017273072
568.9960938,-0.00209213,0.007884693,0.001545135,0.006418248,0.005866873,0.013873185,0.010502493,0.004670572,0.005413218,0.011179933,0.067387357,0.006896703,0.008933936,0.014594082,0.035050511,0.018226152
567.9851074,-0.001943409,0.008279353,0.001653192,0.006587469,0.006161049,0.014133042,0.010863973,0.005037442,0.005864616,0.011544583,0.066783309,0.007353595,0.009697997,0.015053923,0.037564222,0.019771934
567.0111694,-0.001802474,0.008442438,0.001930875,0.007020227,0.006406216,0.014477298,0.011263927,0.005325763,0.006121772,0.011668878,0.066337287,0.007747641,0.010320845,0.015857,0.040281225,0.021173887
565.9996948,-0.001670054,0.008715888,0.002107668,0.007232188,0.006683512,0.014853138,0.011715733,0.005547097,0.006556142,0.011918745,0.068470374,0.008333259,0.011010985,0.016463637,0.043223053,0.022884874
564.987793,-0.001640347,0.009046385,0.002496955,0.007492867,0.006873243,0.015287995,0.012093343,0.005938142,0.00677282,0.012220751,0.068297416,0.008722305,0.011635588,0.017325521,0.046457361,0.024871126
564.0133057,-0.00144849,0.009207537,0.002687079,0.007794102,0.007028172,0.01547463,0.012431083,0.006245338,0.007253613,0.012552675,0.06871853,0.009233661,0.012545747,0.017995052,0.049967311,0.026677798
563.0009766,-0.001412782,0.009411892,0.002739619,0.007933594,0.007034302,0.015736897,0.012836484,0.006441788,0.007722476,0.012885706,0.069160908,0.009934258,0.013604135,0.018843925,0.054551005,0.02932368
561.9884644,-0.001275288,0.009643551,0.003049226,0.008445262,0.007424924,0.016107919,0.013271087,0.006906066,0.008256664,0.013349187,0.069492929,0.010628267,0.014781784,0.020127198,0.059564516,0.032223225
