Wavelength (nm),20 s,40 s,60 s,80 s,100 s,120 s,140 s,160 s,180 s,220 s,240 s,260 s,280 s,300 s
583.982666,0.006761093,0.001547005,0.009190219,0.016290661,0.002908532,0.003752624,0.001248409,-0.004617957,-0.002736927,-0.004804528,0.006928265,0.004277817,0.002455821,-0.000711333
583.0126343,0.006768639,0.001657064,0.009194872,0.016293429,0.003035723,0.0038084,0.001322922,-0.004414088,-0.002771858,-0.004824445,0.007081081,0.004424134,0.002604493,-0.000481367
582.005127,0.006702282,0.001561943,0.009167667,0.016258061,0.002828588,0.003841645,0.001340527,-0.004567293,-0.002852924,-0.004869448,0.007100604,0.00440609,0.002631942,-0.000738055
580.9973145,0.006914088,0.00171847,0.009383298,0.016589725,0.002943193,0.004057155,0.001509131,-0.004381442,-0.0027111,-0.004828131,0.007260141,0.004542379,0.002900193,-0.000528891
579.9892578,0.006859069,0.001794,0.009440992,0.01678101,0.003163108,0.004270446,0.001813989,-0.004280873,-0.002615239,-0.004593881,0.007315132,0.004725472,0.003005069,-0.00039572
579.0183105,0.006723392,0.001833017,0.009206559,0.016666433,0.002984165,0.004328249,0.001875496,-0.004327931,-0.002746599,-0.004702469,0.007600227,0.004803411,0.002984477,-0.000390651
578.0097046,0.006956014,0.002046622,0.0095251,0.017100768,0.00313998,0.00442939,0.002021525,-0.00408818,-0.002600418,-0.004664672,0.007693729,0.005023117,0.003267264,-0.000166881
577.0008545,0.006943993,0.002045842,0.00946885,0.017080385,0.003130802,0.004688339,0.002228016,-0.004052072,-0.002647709,-0.004579947,0.007675865,0.005109543,0.003260379,-5.13E-05
575.9918823,0.007015202,0.002243055,0.009583633,0.01735343,0.00307102,0.004783624,0.002332209,-0.0040512,-0.002539018,-0.004556177,0.007722476,0.005133955,0.003275245,-5.76E-05
574.9824219,0.006861778,0.002195285,0.009553307,0.017402008,0.003174477,0.00464862,0.002416669,-0.003978053,-0.002585184,-0.004745436,0.007970293,0.005096369,0.003472078,5.71E-05
574.0103149,0.006990789,0.002588478,0.009751974,0.017706586,0.003290765,0.004999,0.00270276,-0.003882727,-0.002346632,-0.004438943,0.008074818,0.005503681,0.003747376,0.000390717
573.0004272,0.006939811,0.002563558,0.009497873,0.017826049,0.003220581,0.005008086,0.002725552,-0.00391772,-0.002354407,-0.004534198,0.00817768,0.005412458,0.003920835,0.000247333
571.9904175,0.007273803,0.002650407,0.010019362,0.018160477,0.003430591,0.005384204,0.003225588,-0.00347153,-0.002267943,-0.004229811,0.00850101,0.00578877,0.004326994,0.000556491
571.0174561,0.007335614,0.002858109,0.010097223,0.018351456,0.003622143,0.005486195,0.003402492,-0.003316293,-0.002083938,-0.004066587,0.008619341,0.006083129,0.004549886,0.000976714
570.006958,0.007309393,0.003004782,0.010147938,0.018717965,0.003761111,0.005787432,0.003704871,-0.003136741,-0.001860988,-0.00375402,0.009064015,0.006430386,0.005038908,0.00134746
568.9960938,0.007272039,0.003169705,0.010064609,0.018731531,0.003648456,0.005749212,0.00377884,-0.003211572,-0.001921813,-0.004031299,0.00902799,0.006525265,0.005115568,0.001408173
567.9851074,0.007338484,0.003241497,0.010152813,0.019061763,0.003828874,0.006021626,0.004168583,-0.003004984,-0.001674644,-0.00361172,0.009492422,0.00693463,0.005462576,0.001890939
567.0111694,0.00745447,0.003367403,0.010471758,0.019348886,0.003809915,0.006360928,0.004407868,-0.002823195,-0.001556887,-0.003485757,0.009787477,0.007355175,0.006076408,0.002349386
565.9996948,0.00762968,0.003672368,0.010513471,0.019646246,0.003975379,0.00656174,0.004684964,-0.002418252,-0.001338414,-0.003352359,0.010159411,0.00772129,0.006510523,0.002732872
564.987793,0.007589058,0.00365553,0.010500477,0.019890368,0.004089948,0.006582475,0.005043858,-0.002273248,-0.001233112,-0.003141264,0.010505277,0.008309511,0.007051613,0.003259153
564.0133057,0.007763321,0.003819003,0.010657288,0.020217929,0.004149687,0.006946887,0.005407373,-0.002136335,-0.001058326,-0.003024625,0.010881968,0.008661089,0.007452363,0.003767717
563.0009766,0.007781426,0.003840026,0.010792528,0.020349832,0.004211892,0.007350252,0.005624029,-0.002008191,-0.000902999,-0.002856627,0.011332951,0.009281102,0.008080251,0.0043374
561.9884644,0.007708089,0.004120836,0.010825939,0.020631047,0.004383288,0.007476381,0.006117571,-0.001770713,-0.000721154,-0.002495421,0.012016746,0.010021746,0.008973205,0.005074945
561.0132446,0.007762214,0.004010099,0.010876527,0.020837944,0.004306418,0.007634712,0.006399806,-0.001539193,-0.000568963,-0.002391325,0.012298289,0.010593835,0.00964535,0.005779037
560.0001831,0.007738629,0.003996122,0.010800011,0.020872816,0.004393748,0.007783218,0.006678964,-0.001402048,-0.000516946,-0.00221479,0.012959336,0.011200412,0.010526176,0.006612963
558.9868164,0.007929508,0.00424948,0.010977427,0.021291263,0.004672613,0.008106492,0.007281647,-0.000908578,-3.98E-05,-0.001704503,0.014005367,0.012303322,0.011684221,0.007768961
558.0109253,0.007912109,0.004415818,0.01104383,0.021612756,0.004662592,0.008438558,0.007954474,-0.000612599,0.000368332,-0.001381044,0.014757815,0.013402257,0.012912665,0.008871607
556.9971924,0.008075029,0.004594619,0.011255772,0.022055253,0.004880526,0.008963294,0.008606006,-0.000114763,0.000832643,-0.000761984,0.015646987,0.014914108,0.014499833,0.010390091
555.9832153,0.008281622,0.004814849,0.011263476,0.022405822,0.00506549,0.009463187,0.009273062,0.000448628,0.001283561,-0.000132568,0.016951492,0.016382745,0.016209666,0.012183957
555.0065308,0.008113824,0.004874479,0.011413946,0.022723095,0.005033566,0.00976018,0.009968054,0.000864571,0.001715663,0.000308152,0.018201776,0.017895935,0.017856769,0.013799935
553.9920654,0.008396436,0.005030554,0.011511222,0.023123479,0.005244219,0.010563094,0.010950321,0.001595588,0.002226168,0.001036727,0.01968273,0.019890042,0.020098647,0.015906699
553.0148926,0.008372288,0.005153156,0.011822547,0.023456603,0.005436861,0.010837113,0.011905548,0.00217559,0.0028147,0.001564801,0.021210933,0.02182366,0.022384861,0.018068798
551.999939,0.008695235,0.005434712,0.011964164,0.024138317,0.005772584,0.011802012,0.013130324,0.003101627,0.003731815,0.00263051,0.023282513,0.024392836,0.025128953,0.020835446
550.9848022,0.008520941,0.005633155,0.011926887,0.02444878,0.005893794,0.012525737,0.014387783,0.003967699,0.004557524,0.003573856,0.02528823,0.026989339,0.028123029,0.023616061
550.007019,0.008517668,0.005600953,0.011941227,0.024914164,0.005979292,0.01308721,0.015883742,0.004972396,0.005486641,0.004469587,0.027648594,0.02980957,0.031377871,0.026580809
548.991333,0.008551195,0.005925125,0.012030612,0.025587955,0.006122769,0.014113093,0.017567666,0.006120879,0.006607259,0.005780663,0.030447466,0.033288613,0.035098024,0.030293116
548.0130615,0.008708044,0.005950161,0.012294561,0.026110282,0.006500564,0.015172632,0.019604024,0.007426715,0.007819061,0.007064584,0.033536695,0.036827307,0.039140631,0.03397923
546.9968872,0.008910129,0.006171078,0.012594696,0.026794055,0.006869904,0.016182419,0.021528695,0.008856256,0.00902014,0.008481134,0.036306717,0.040336527,0.043160491,0.037796911
546.0181885,0.008873694,0.006334135,0.012876666,0.027407518,0.007075529,0.01732781,0.023651484,0.010260569,0.010396374,0.009903668,0.03968117,0.044114351,0.047276612,0.041603833
545.0015259,0.008848305,0.006501562,0.012786388,0.028227877,0.007463371,0.018733207,0.026325306,0.012062575,0.012055815,0.011495672,0.043198664,0.048434783,0.052273374,0.046117637
543.9847412,0.008964325,0.006768508,0.012980538,0.029315982,0.008080225,0.020771874,0.02978118,0.014295719,0.01403662,0.013677166,0.047887322,0.053999595,0.058188695,0.051953144
543.0053101,0.009076227,0.006987633,0.013090625,0.030495143,0.008614615,0.022823539,0.033659138,0.016766991,0.016285796,0.015915265,0.052814554,0.059599672,0.064488806,0.057696238
541.987915,0.009240008,0.007307919,0.013353137,0.031578343,0.009178374,0.024873482,0.037111338,0.019125519,0.018335337,0.017937856,0.05768808,0.06485644,0.070073508,0.063108787
541.0080566,0.009530577,0.007625149,0.013891012,0.032965511,0.009780143,0.026920507,0.040475279,0.021538215,0.020380894,0.019947225,0.062018503,0.069853999,0.075438507,0.068044953
539.9902954,0.009398216,0.007602809,0.013861854,0.034293532,0.010351039,0.029291252,0.044818483,0.024204683,0.022650899,0.02217859,0.06702368,0.07558506,0.081821524,0.073796399
539.0100098,0.009506366,0.007938867,0.01400256,0.036225982,0.011308135,0.032470811,0.050051544,0.027659932,0.025662398,0.025085894,0.073202439,0.082500175,0.089222401,0.080575868
537.9917603,0.00955029,0.008172536,0.014305778,0.038278665,0.012338022,0.036176037,0.056039542,0.031504106,0.028852832,0.028310288,0.079905227,0.089788564,0.097436458,0.087744378
537.0109863,0.009620472,0.008470073,0.014642004,0.040227037,0.01319623,0.03928538,0.061247885,0.034730583,0.031592235,0.03052444,0.085348032,0.095616572,0.103717342,0.093647555
535.9922485,0.009818428,0.008703765,0.015159551,0.042644452,0.014255084,0.042666812,0.067028724,0.038211472,0.034479856,0.033220649,0.091333754,0.101836376,0.110620394,0.099777423
