Wavelength (nm),Run 2 60 s,Run 3 30 s,Run 4 360 s,Run 5 150 s,Run 6 30 s,Run 7 120 s,Run 8 150 s,Run 9 30 s
525.9699707,213.9732819,72.43356323,138.2913208,115.6299744,106.4833984,114.712471,261.4888611,133.4386139
527.0100098,206.755661,68.55316925,134.3872375,109.2694931,102.3087921,109.3590622,244.3816071,129.8712158
528.0499878,197.1490326,64.33470917,130.8209076,101.361824,96.17375946,103.6117554,228.8153381,125.1524124
528.9500122,191.5796661,61.29476547,127.9715576,96.1529541,91.67352295,99.51322174,216.7342529,122.3085861
530,179.9338074,57.23744965,124.898613,89.24740601,87.81439209,95.41622925,201.9285278,118.5911484
531.0200195,172.5065002,53.54701996,122.5640488,83.64704132,83.8519516,90.84867096,188.4810028,114.6330566
532.0499878,162.9520264,50.21609879,120.1576462,77.92147064,80.51540375,85.96791077,176.5257568,111.1057739
532.9400024,156.4606628,47.6069603,117.7845612,73.25152588,76.58267975,83.16135406,166.7945862,109.4687042
533.9699707,148.4923706,45.13562775,114.6201172,68.415802,74.11711121,79.21786499,156.6428223,106.2719116
535,141.4784698,42.41017532,112.6133957,64.19773102,71.51937866,76.47667694,147.3686066,104.3658752
536.0200195,134.3701019,40.48143387,110.1212463,59.99798965,68.82874298,72.85948944,139.0072937,102.4898071
537.0499878,127.8905411,38.33060074,107.9358139,55.87401199,66.53182983,70.2909317,130.9464417,99.90485382
537.9400024,122.5608749,36.79822922,105.84375,52.65864182,63.71750641,67.59989929,124.6415024,98.24062347
538.9699707,117.0061111,34.5397644,103.6125031,49.51597977,62.46332932,65.19819641,117.3062897,96.02692413
540,111.738205,33.04063416,102.3807297,46.97455215,60.06252289,63.31882477,111.3581238,93.4621048
541.039978,106.9770126,31.50226974,100.7849731,44.17668533,59.36660385,61.49657822,106.0061188,92.66448975
541.9400024,102.8134995,30.71003151,98.63935852,41.90328217,58.35080338,59.80055618,101.7598953,90.10622406
542.9799805,99.39658356,29.2409935,97.34259796,39.77708435,57.34806061,57.67500687,97.43090057,88.77492523
544.0200195,96.37557983,28.12883949,96.17803955,37.71170807,55.95775604,56.61117935,93.12204742,87.79719543
545.0700073,92.08622742,27.33452034,94.43776703,35.99252319,54.66485214,55.40191269,89.65381622,86.28944397
545.9699707,89.44795227,26.39590263,93.17453003,34.79841614,53.96543884,54.15127945,87.3924942,85.22427368
547.0100098,85.8036499,25.71688461,91.11530304,33.38177872,52.51758957,52.53878021,84.02586365,84.21661377
548.0499878,83.07341003,24.37887764,90.50937653,32.60910034,52.24573517,51.30442047,81.40389252,83.08669281
548.9500122,80.76605225,24.00007248,89.65592194,31.24352646,51.11203766,50.48819351,79.13611603,82.23516846
550,78.86256409,23.51121521,88.02175903,29.75011063,51.35188675,49.5512352,76.65155029,81.74591827
551.0200195,76.89758301,22.44125175,86.16333008,29.17393494,49.5848465,48.27399063,74.46414185,81.20106506
552.0499878,74.26417542,21.97404861,85.13670349,28.3495388,49.58954239,47.92011261,72.59480286,80.49058533
552.9400024,72.7399826,21.0363903,84.30101776,27.54572678,48.7701683,46.93549347,70.47188568,79.3868866
553.9699707,70.22649384,20.56732941,82.78355408,26.19233513,48.5105896,46.04670334,69.54270172,78.40872955
555,68.63858032,20.00890541,82.08943176,25.85108757,47.21388245,45.81741333,67.69327545,77.32099152
556.0200195,67.17847443,19.00464439,81.74700928,25.26498413,47.29273224,44.61102676,65.80357361,76.77814484
557.0499878,65.73299408,19.06433296,79.8589325,24.60965157,46.39514923,43.49468231,64.76391602,76.2939682
557.9400024,64.6774292,17.92628479,77.7436142,23.94482994,45.82641602,43.31118011,63.51070023,75.56284332
558.9699707,63.89234924,17.85995865,77.55619049,23.66820145,45.61382675,42.34131241,62.16424942,74.8826828
560,62.14769363,17.27404022,76.29924011,22.84448624,45.22355652,42.16044235,60.88698959,73.84877014
561.039978,59.9457016,16.8414402,75.80328369,22.74828911,44.53129578,41.32037354,59.98321152,73.61283875
561.9400024,59.35967636,16.55933762,74.60718536,22.30193138,44.07488251,41.00040436,59.18094254,72.43149567
562.9799805,58.31135941,15.98705387,73.68899536,22.01029778,43.6463356,40.3333168,58.62789536,71.50556183
564.0200195,57.19193268,15.36357307,72.23474884,21.51296425,43.64479446,39.98072052,56.99960327,71.88821411
565.0700073,56.22817612,15.17470646,71.44433594,21.1687355,42.97457123,39.44643021,56.98689651,71.0027771
565.9699707,55.1387558,14.88955116,71.31304169,20.99346161,43.29804611,39.05355835,56.12733459,70.87594604
567.0100098,54.84634018,14.7571106,69.98130798,20.66420364,42.67314148,38.56389236,55.46601105,69.84017944
568.0499878,53.64388275,14.33141613,69.14150238,20.13043404,42.50995255,38.06409836,55.08222961,69.59449768
568.9500122,52.48699951,14.03476334,67.95024872,20.02381516,41.75702667,37.86951828,54.2885704,69.1843338
570,51.56155777,14.08502865,67.87100983,19.87328148,42.07100296,37.31489182,53.56935883,68.55506897
571.0200195,51.48603821,13.53655434,66.94586945,19.8920269,41.29783249,36.97354126,53.43224716,68.59944153
572.0499878,49.49153137,13.58010864,65.72615051,19.61802673,40.75104141,36.45244217,53.1086235,67.98942566
572.9400024,49.49068451,13.6073904,65.26554108,19.50509834,41.01305008,36.24001312,52.43502808,67.38385773
573.9699707,48.07339096,13.23819065,65.12728882,19.4087677,40.30760574,35.95573425,51.94094849,66.99806976
575,47.51270294,13.09093571,64.06539917,19.40981865,40.47823715,35.57659149,51.68019104,66.94009399
576.0200195,47.28816986,13.02768612,62.67998505,18.9852314,40.14248276,35.2999649,51.83128357,66.14701843
577.0499878,46.10870361,12.70785713,62.46006775,18.83149338,39.19995499,35.08771896,51.37306976,65.71974182
